	ID,Source,Content,Char_Len,label,clean_content
0,https://www.youtube.com/watch?v=UG-KjCSt14k&ab_channel=JimBrowning,hi yeah I've got an email here about a laptop I didn't order can you help with that yeah can you help me out with you order ID number please yeah so I can see it's an auto phone microsoft surface pro what do you want to know,224,scam,hi yeah ive got email laptop didnt order help yeah help order id number please yeah see auto phone microsoft surface pro want know
1,https://www.patreon.com/JimBrowning/posts?filters[media_types]=audio,Hello This is British Telecom technical department we are hereby to inform you that your internet line will be terminated from today onwards to fix up the problem please press one to connect with BT thank you for your response we would now like to transfer you to a team manager for just a few more questions please stay on the line hello hello yes I had a call about my broadbrand my internet line,398,scam,hello british telecom technical department hereby inform internet line terminated today onwards fix problem please press one connect bt thank response would like transfer team manager question please stay line hello hello yes call broadbrand internet line
2,https://www.youtube.com/watch?v=P6dhteJIY48&ab_channel=JimBrowning,hello this call is from Interpol the purpose of this call is to inform you that your Austrian identity has been misused for fraudulent and illegal activity for more information press one,186,scam,hello call interpol purpose call inform austrian identity misused fraudulent illegal activity information press one
3,https://www.youtube.com/watch?v=HlTpousFPsM&ab_channel=FTCvideos,hi this is from Amazon customer service we have seen a recent order number amz-0987 of iPhone 11 Pro on your account which is billed on your card attached to your Amazon account the amount charged in 1499 we noticed some suspicious activity on your account so we have put in hold to this transaction please press one now and to report please press two thank you,361,scam,hi amazon customer service seen recent order number amz0987 iphone 11 pro account billed card attached amazon account amount charged 1499 noticed suspicious activity account put hold transaction please press one report please press two thank
4,https://www.youtube.com/watch?v=8sT121uUFOo&ab_channel=FTCvideos,this is calling with the vehicle service department we are calling about your vehicle's manufacturer's warranty we sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff and this is a courtesy call to renew your warranty before we close the file if you are interested in renewing your auto warranty now please press five now or press 9 to be removed from our list,411,scam,calling vehicle service department calling vehicle manufacturer warranty sent several notice mail yet extend warranty past factory cutoff courtesy call renew warranty close file interested renewing auto warranty please press five press 9 removed list
5,https://www.youtube.com/watch?v=n4iN8fras1Y&ab_channel=ScammersWorldwide,the criminal case registered under your name for tax fraud and tax division and there is also a warrant out for your arrest now there's a warrant out for my arrest this is a recordable line sir i have to play this recording in the courthouse so we don't need any interruption in this call sorry this is going to get played in court yeah the recording is going to be playing the couch house we found autumn's calculation of 1693 pounds outstanding under your name so at this point of time you have only two options your first option is to go to court and fight the case in case if you found guilty you have to,608,scam,criminal case registered name tax fraud tax division also warrant arrest there warrant arrest recordable line sir play recording courthouse dont need interruption call sorry going get played court yeah recording going playing couch house found autumn calculation 1693 pound outstanding name point time two option first option go court fight case case found guilty
6,https://www.youtube.com/watch?v=VxZy5Dlm2go&ab_channel=ScamAlertUK,hello this is a final warning from inland revenue with hmrc regarding a criminal prosecution on your name urgently call us back on three three zero zero zero one zero two and for your arrest and your warrant number is wc wc4589 as there is a legal case going to be filed against your name now before the case is sent for execution and you receive the legal course of notification you can call the hmrc on 02081.449696 i need you or your retained solicitor of record to call us back the issue at hand is extremely time sensitive this is officer from hm revenue and customs the hotline to my division is,601,scam,hello final warning inland revenue hmrc regarding criminal prosecution name urgently call u back three three zero zero zero one zero two arrest warrant number wc wc4589 legal case going filed name case sent execution receive legal course notification call hmrc 02081449696 need retained solicitor record call u back issue hand extremely time sensitive officer hm revenue custom hotline division
7,https://www.youtube.com/watch?v=F_r0ac8Wf9Y&ab_channel=OffTheHook,Hello sir my name is  I'm calling from Microsoft Windows okay this is an urgent check up call for your computer as we have found several problems with it first of all do you have any computers that is having the Microsoft Windows in it right,241,scam,hello sir name im calling microsoft window okay urgent check call computer found several problem first computer microsoft window right
8,https://www.youtube.com/watch?v=DdMISalsfrk&ab_channel=ToniMosh,Hello this is calling from the fraud prevention team how can I help you hello I received a text message saying someone called  set up a standing order okay do you know who this recepient is sir never heard of him I know  is the mayor of london but not ,252,scam,hello calling fraud prevention team help hello received text message saying someone called set standing order okay know recepient sir never heard know mayor london
9,https://www.youtube.com/watch?v=0QVOwahqwAw&ab_channel=ToniMosh,welcome to tsb fraud prevention please hold one of our representitives will be with you as soon as they can hi there you're through to martin moore at the TSB bank customer service team could I ask you to confirm who I'm through to yes my name is and how may I help you today sir not sure what's going on but I got a message saying that uh some money has been taken from my account or is it going to be taken from my account ok not a problem at all ,449,scam,welcome tsb fraud prevention please hold one representitives soon hi youre martin moore tsb bank customer service team could ask confirm im yes name may help today sir sure whats going got message saying uh money taken account going taken account ok problem
